Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Prendario;Nombre corto del Préstamo Prendario;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Relación monto/tasación (%);Destino de los fondos;Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-03;TASA OPORTUNIDAD;TASA OPORTUNIDAD;Pesos;1650000;10000;60;15500;0;70;30,00;70,00;Adquisición automotores 0 km;Clientes con cuenta en la entidad;5,00;91,75;Fija;130,47;739,80;Todo el territorio nacional;CAMPO 14: LA CANCELACION ANTICIPADA TENDRA UN RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO AL TIEMPO DE LA CANCELACION ANTICIPADA. CUANDO AL MOMENTO DE EFECTUARLA LA CANCELACION HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS EL MAYOR, NO SE COBRARA EL RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO.
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-03;TASA OPORTUNIDAD;TASA OPORTUNIDAD;Pesos;1650000;10000;60;15500;0;70;30,00;70,00;Adquisición de automotores usados;Empleados públicos;5,00;91,75;Fija;130,47;739,80;Todo el territorio nacional;CAMPO 14: LA CANCELACION ANTICIPADA TENDRA UN RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO AL TIEMPO DE LA CANCELACION ANTICIPADA. CUANDO AL MOMENTO DE EFECTUARLA LA CANCELACION HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS EL MAYOR, NO SE COBRARA EL RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO.
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-03;TASA OPORTUNIDAD;TASA OPORTUNIDAD;Pesos;1650000;10000;60;15500;0;70;30,00;70,00;Adquisición automotores 0 km;Personas humanas Monotributistas;5,00;91,75;Fija;130,47;739,80;Todo el territorio nacional;CAMPO 14: LA CANCELACION ANTICIPADA TENDRA UN RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO AL TIEMPO DE LA CANCELACION ANTICIPADA. CUANDO AL MOMENTO DE EFECTUARLA LA CANCELACION HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS EL MAYOR, NO SE COBRARA EL RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO.
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-03;TASA OPORTUNIDAD;TASA OPORTUNIDAD;Pesos;1650000;10000;60;15500;0;70;30,00;70,00;Adquisición automotores 0 km;Beneficiarios de cuentas de la seguridad social;5,00;91,75;Fija;130,47;739,80;Todo el territorio nacional;CAMPO 14: LA CANCELACION ANTICIPADA TENDRA UN RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO AL TIEMPO DE LA CANCELACION ANTICIPADA. CUANDO AL MOMENTO DE EFECTUARLA LA CANCELACION HAYA TRANSCURRIDO AL MENOS LA CUARTA PARTE DEL PLAZO ORIGINAL DE LA FINANCIACION O 180 DIAS CORRIDOS DESDE SU OTORGAMIENTO, DE AMBOS EL MAYOR, NO SE COBRARA EL RECARGO EQUIVALENTE AL 5 POR CIENTO DEL SALDO ADEUDADO.
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición automotores 0 km;Empleados públicos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición de automotores (marcas con convenios con la entidad);Clientes que acrediten sueldos en la entidad;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición de automotores usados;Personas humanas Monotributistas;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición de automotores (marcas con convenios con la entidad);Personas humanas Responsables Inscriptos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición de automotores usados;Personas humanas en relación de dependencia;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición automotores 0 km;Personas humanas Monotributistas;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición automotores 0 km;Personas humanas en relación de dependencia;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición de motocicletas;Personas humanas Monotributistas;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición de motocicletas;Empleados públicos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición de motocicletas;Clientes con cuenta en la entidad;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;12;74;30,00;80,00;Adquisición de automotores (marcas con convenios con la entidad);Empleados públicos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición de motocicletas;Personas humanas Responsables Inscriptos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición automotores 0 km;Personas humanas Responsables Inscriptos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
17;BANCO BBVA ARGENTINA S.A.;2019-12-03;PRESTAMO PRENDARIO;PRESTAMO PRENDARIO;Pesos;1200000;40000;60;10000;24;74;30,00;80,00;Adquisición de automotores usados;Personas humanas Responsables Inscriptos;5,00;101,22;Fija;138,66;2952,80;Todo el territorio nacional;LOS PARAMETROS UTILIZADOS PARA EL CALCULO DEL CFT NO NECESARIAMENTE SERAN LOS QUE EFECTIVAMENTE CORRESPONDAN A CADA UNA DE LAS DE LAS FINANCIACIONES QUE SE OTORGUEN, DADO QUE ESTAS PODRAN CONCERTARSE POR IMPORTES, VEHICULO EN GARANTIA, COMPANIAS DE SEGURO, COBERTURAS Y ZONAS DE RIESGO DIFERENTES AL EJEMPLO UTILIZADO. EJEMPLO UTILIZADO VEHICULO VALOR $1.186.000, MONTO DEL PRESTAMO $948.800 COBERTURA LA SEGUNDA TERCEROS COMPLETOS BASICO EN CABA VALOR MENSUAL $1.634,03
