Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;21000;12;79;30,00;Clientes que acrediten sueldos en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;29000;12;79;30,00;Clientes con cuenta en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;24000;12;79;30,00;Empleados públicos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;25000;12;79;30,00;Clientes que acrediten sueldos en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;24000;12;79;30,00;Clientes con cuenta en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;25000;12;79;30,00;Empleados públicos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;29000;12;79;30,00;Personas humanas en relación de dependencia;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;25000;12;79;30,00;Personas humanas Monotributistas;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;21000;12;79;30,00;Clientes con cuenta en la entidad;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;21000;12;79;30,00;Personas humanas en relación de dependencia;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;21000;12;79;30,00;Empleados públicos;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;25000;12;79;30,00;Personas humanas en relación de dependencia;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;2019-12-04;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;1000000;15000;96;24000;12;79;30,00;Personas humanas en relación de dependencia;3,00;118,99;Fija;156,54;818,03;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;12;74;30,00;Clientes con cuenta en la entidad;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;24;74;30,00;Personas humanas Responsables Inscriptos;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;3;74;30,00;Clientes que acrediten sueldos en la entidad;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;12;74;30,00;Beneficiarios de cuentas de la seguridad social;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;24;74;30,00;Personas humanas Monotributistas;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;12;74;30,00;Empleados públicos;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2019-11-15;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;2000000;1000;60;18720;12;74;30,00;Personas humanas en relación de dependencia;4,00;123,12;Fija;158,78;849,65;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;16875;12;81;30,00;Clientes con cuenta en la entidad;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;16875;3;81;30,00;Clientes que acrediten sueldos en la entidad;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;16875;6;81;30,00;Personas humanas en relación de dependencia;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;12937;0;81;30,00;Beneficiarios de cuentas de la seguridad social;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;16875;12;81;30,00;Personas humanas Monotributistas;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;16875;12;81;30,00;Personas humanas Responsables Inscriptos;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2019-10-11;PRESTAMO PERSONAL PARA LA ADQUISICION DE MATERIALES DE CONSTRUCCION;PP CONSTRUCCION;Pesos;800000;1000;48;16875;6;81;30,00;Empleados públicos;,00;66,40;Fija;84,68;593,39;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Personas humanas en relación de dependencia;4,00;83,50;Fija;107,09;838,50;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Monotributistas;4,00;83,50;Fija;107,09;838,50;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Clientes con cuenta en la entidad;4,00;83,50;Fija;107,09;838,50;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;4;80;30,00;Clientes que acrediten sueldos en la entidad;4,00;79,50;Fija;102,42;823,45;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Monotributistas;4,00;83,50;Fija;107,09;838,50;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Personas humanas en relación de dependencia;4,00;83,50;Fija;107,09;838,50;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;4;80;30,00;Clientes que acrediten sueldos en la entidad;4,00;79,50;Fija;102,42;823,45;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Monotributistas;4,00;83,50;Fija;107,09;838,50;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Responsables Inscriptos;4,00;83,50;Fija;107,09;838,50;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Responsables Inscriptos;4,00;83,50;Fija;107,09;838,50;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;4;80;30,00;Clientes que acrediten sueldos en la entidad;4,00;79,50;Fija;102,42;823,45;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;4;80;30,00;Clientes que acrediten sueldos en la entidad;4,00;79,50;Fija;102,42;823,45;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;6000;60;3500;1;82;50,00;Beneficiarios de cuentas de la seguridad social;4,00;81,50;Fija;104,74;830,96;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;18;80;30,00;Empleados públicos;4,00;79,50;Fija;102,42;823,45;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Personas humanas en relación de dependencia;4,00;83,50;Fija;107,09;838,50;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Monotributistas;4,00;83,50;Fija;107,09;838,50;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Clientes con cuenta en la entidad;4,00;83,50;Fija;107,09;838,50;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;18;80;30,00;Empleados públicos;4,00;79,50;Fija;102,42;823,45;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;12;80;30,00;Personas humanas Responsables Inscriptos;4,00;83,50;Fija;107,09;838,50;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Clientes con cuenta en la entidad;4,00;83,50;Fija;107,09;838,50;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;4;80;30,00;Clientes que acrediten sueldos en la entidad;4,00;79,50;Fija;102,42;823,45;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;6000;60;3500;1;82;50,00;Beneficiarios de cuentas de la seguridad social;4,00;81,50;Fija;104,74;830,96;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;25000;6;80;30,00;Personas humanas en relación de dependencia;4,00;83,50;Fija;107,09;838,50;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;10000;84;10000;18;80;30,00;Empleados públicos;4,00;79,50;Fija;102,42;823,45;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2019-12-12;PRESTAMOS PERSONALES;PP;Pesos;1500000;6000;60;3500;1;82;50,00;Beneficiarios de cuentas de la seguridad social;4,00;81,50;Fija;104,74;830,96;Ciudad Autónoma de Buenos Aires;
